region,estado,comuna_nome,comuna,superficie,poblacion,densidad,,
14,Guadalajara ,Mexticacán,60,288,5088,17.69,,FALSE
14,Guadalajara ,Mezquitic,61,3361,19452,5.79,,FALSE
14,Guadalajara ,Mixtlán,62,630,3526,5.6,,FALSE
14,Guadalajara ,Ocotlán,63,242,99461,410.22,,FALSE
14,Guadalajara ,Ojuelos de Jalisco,64,1156,32357,27.99,,FALSE
14,Guadalajara ,Pihuamo,65,875,11192,12.79,,FALSE
14,Guadalajara ,Poncitlán,66,836,51944,62.14,,FALSE
14,Guadalajara ,Puerto Vallarta,67,680,275640,405.11,,FALSE
14,Guadalajara ,Quitupan,68,677,8379,12.39,,FALSE
14,Guadalajara ,San Cristóbal de la Barranca,69,521,3117,5.98,,FALSE
14,Guadalajara ,San Diego de Alejandría,70,352,7349,20.85,,FALSE
14,Guadalajara ,San Gabriel,71,747,16105,21.55,,FALSE
14,Guadalajara ,San Ignacio Cerro Gordo,72,262,18952,72.26,,FALSE
14,Guadalajara ,San Juan de los Lagos,73,848,69725,82.25,,FALSE
14,Guadalajara ,San Juanito de Escobedo,74,194,9420,48.44,,FALSE
14,Guadalajara ,San Julián,75,262,15890,60.63,,FALSE
14,Guadalajara ,San Marcos,76,306,3783,12.37,,FALSE
14,Guadalajara ,San Martín de Bolaños,77,691,3122,4.52,,FALSE
14,Guadalajara ,San Martín Hidalgo,78,344,27777,80.71,,FALSE
14,Guadalajara ,San Miguel el Alto,79,787,32960,41.88,,FALSE
14,Guadalajara ,San Pedro Tlaquepaque,80,1117,664193,594.54,,FALSE
14,Guadalajara ,San Sebastián del Oeste,81,259,5643,21.79,,FALSE
14,Guadalajara ,Santa María de los Ángeles,82,775,3033,3.91,,FALSE
14,Guadalajara ,Santa María del Oro,83,216,2028,9.39,,FALSE
14,Guadalajara ,Sayula,84,412,36778,89.2,,FALSE
14,Guadalajara ,Tala,85,1996,80365,40.26,,FALSE
14,Guadalajara ,Talpa de Allende,86,1364,15126,11.09,,FALSE
14,Guadalajara ,Tamazula de Gordiano,87,619,38396,61.98,,FALSE
14,Guadalajara ,Tapalpa,88,1301,19506,15,,FALSE
14,Guadalajara ,Tecalitlán,89,79,16579,208.7,,FALSE
14,Guadalajara ,Techaluta de Montenegro,90,766,3703,4.84,,FALSE
14,Guadalajara ,Tecolotlán,91,282,17257,61.28,,FALSE
14,Guadalajara ,Tenamaxtlán,92,934,7005,7.5,,FALSE
14,Guadalajara ,Teocaltiche,93,336,41278,123.01,,FALSE
14,Guadalajara ,Teocuitatlán de Corona,94,1430,10317,7.22,,FALSE
14,Guadalajara ,Tepatitlán de Morelos,95,1696,141322,83.32,,FALSE
14,Guadalajara ,Tequila,96,219,42009,191.62,,FALSE
14,Guadalajara ,Teuchitlán,97,194,9608,49.64,,FALSE
14,Guadalajara ,Tizapán el Alto,98,714,20961,29.36,,FALSE
14,Guadalajara ,Tlajomulco de Zúñiga,99,110,549442,4975.03,,FALSE
14,Guadalajara ,Tolimán,100,512,10310,20.13,,FALSE
14,Guadalajara ,Tomatlán,101,3014,35824,11.89,,FALSE
14,Guadalajara ,Tonalá,102,166,536111,3227.64,,FALSE
14,Guadalajara ,Tonaya,103,294,5960,20.28,,FALSE
14,Guadalajara ,Tonila,104,145,7919,54.51,,FALSE
14,Guadalajara ,Totatiche,105,587,4412,7.51,,FALSE
14,Guadalajara ,Tototlán,106,337,23171,68.74,,FALSE
14,Guadalajara ,Tuxcacuesco,107,429,4229,9.86,,FALSE
14,Guadalajara ,Tuxcueca,108,138,6156,44.68,,FALSE
14,Guadalajara ,Tuxpan,109,726,34535,47.6,,FALSE
14,Guadalajara ,Unión de San Antonio,110,729,17915,24.56,,FALSE
14,Guadalajara ,Unión de Tula,111,444,13446,30.31,,FALSE
14,Guadalajara ,Valle de Guadalupe,112,352,6924,19.69,,FALSE
14,Guadalajara ,Valle de Juárez,113,196,5389,27.55,,FALSE
14,Guadalajara ,Villa Corona,114,318,17824,56.05,,FALSE
14,Guadalajara ,Villa Guerrero,115,673,5417,8.04,,FALSE
14,Guadalajara ,Villa Hidalgo,116,452,20257,44.82,,FALSE
14,Guadalajara ,Villa Purificación,117,1849,10704,5.79,,FALSE
14,Guadalajara ,Yahualica de González Gallo,118,563,22586,40.09,,FALSE
14,Guadalajara ,Zacoalco de Torres,119,480,28205,58.78,,FALSE
14,Guadalajara ,Zapopan,120,1164,1332272,1144.93,,FALSE
14,Guadalajara ,Zapotiltic,121,253,29190,115.45,,FALSE
14,Guadalajara ,Zapotitlán de Vadillo,122,306,7027,22.98,,FALSE
14,Guadalajara ,Zapotlán del Rey,123,400,17893,44.75,,FALSE
14,Guadalajara ,Zapotlán el Grande,124,274,105423,384.54,,FALSE
14,Guadalajara ,Zapotlanejo,125,719,68519,95.24,,FALSE
